ID,Gross,Worldwide_Gross
1, 760.51M,2847397339
2, 858.37M,2797501328
3, 659.33M,2201647264
4, 936.66M,2069521700
5, 678.82M,2048359754
6, 804.75M,1911432550
7, 652.27M,1671537444
8, 543.64M,1663250487
9, 623.28M,1518815515
10, 353.01M,1515341399
11, 477.37M,1450026933
12,******,1440739744
13, 459.01M,1402809540
14, 700.06M,1347597973
15, 381.01M,1342359942
16, 620.18M,1332698830
17, 417.72M,1310466296
18, 400.74M,1281508100
19, 504.01M,1273576220
20, 608.58M,1243089244
21, 226.01M,1236005118
22, 409.01M,1214811252
23, 336.05M,1159444662
24, 408.08M,1153337496
25, 335.06M,1148528393
26, 377.85M,1146436214
27, 390.53M,1131927996
28, 426.83M,1128462972
29, 352.39M,1123794079
30, 304.36M,1108569499
31, 245.44M,1104054072
32, 402.45M,1099699003
33, 448.14M,1081153097
34, 335.45M,1074445730
35, 515.20M,1074149279
36, 434.04M,1073394593
37, 415.00M,1066970811
38, 423.32M,1066179747
39, 422.78M,1063611805
40, 532.18M,1057420387
41, 355.56M,1050693953
42, 241.06M,1045713802
43, 264.62M,1034800131
44, 486.30M,1028570942
45, 474.54M,1027082707
46, 334.19M,1025468216
47, 341.27M,1024121104
48, 317.58M,1022290019
49, 303.00M,1017030651
50, 534.86M,1006102277
51,******,994677000
52, 295.98M,977070383
53, 368.06M,970766005
54, 364.00M,966554929
55, 404.52M,962542945
56, 255.12M,962201338
57, 309.42M,960996492
58, 258.37M,959027992
59,******,955152198
60, 342.55M,947896241
61, 292.00M,942201710
62, 380.84M,940352645
63, 301.96M,934483039
64, 436.47M,928760770
65, 216.43M,910809311
66, 0.34M,902545034
67, 315.54M,898094742
68, 290.01M,896730264
69, 336.53M,894983373
70,******,890966065
71, 196.57M,886686817
72, 200.07M,880681519
73, 334.20M,880166924
74, 261.99M,879928511
75, 161.32M,877244782
76, 368.38M,875458631
77, 330.36M,873637528
78, 2.72M,870325439
79, 380.26M,868390560
80, 424.67M,865011746
81, 389.81M,863756051
82, 356.46M,858848019
83, 213.52M,856085151
84, 315.06M,853983879
85, 292.58M,836848102
86, 402.11M,836303693
87, 292.30M,829747654
88, 403.71M,825025036
89, 412.56M,822854286
90,******,822009764
91, 306.17M,817400891
92, 234.04M,814044001
93, 320.71M,813367380
94, 209.73M,807817888
95, 316.83M,800059707
96, 249.36M,797568607
97, 172.56M,794881442
98, 435.11M,792910554
99, 220.16M,791657398
100, 166.11M,791217826
101, 317.10M,790653942
102, 373.59M,788976453
103, 238.68M,788680968
104, 324.59M,785896609
105, 363.07M,782836791
106, 322.74M,775398007
107, 160.87M,774153007
108, 333.18M,773350147
109,******,770836163
110, 217.54M,760006945
111, 173.96M,759056935
112, 241.41M,758411779
113, 262.03M,757930663
114, 337.14M,755356711
115, 238.37M,752600867
116,******,750858321
