ID,Movie_Rating,Metascore,Votes
1,7.8,83,1236962
2,8.4,78,1108641
3,7.9,75,1162142
4,7.8,80,925551
5,8.4,68,1062517
6,8.3,71,735006
7,6.9,59,640590
8,6.8,55,244170
9,8,69,1381149
10,7.1,67,389484
11,6.8,64,171270
12,8.4,78,400255
13,7.3,66,856080
14,7.3,88,751667
15,8.1,85,867676
16,6.9,84,627406
17,6.1,51,315318
18,7.4,75,621680
19,7.1,65,308027
20,7.6,80,295100
21,6.6,56,231745
22,7.1,62,844284
23,6.4,56,238820
24,7.8,75,779525
25,6.8,55,469031
26,9,94,1826650
27,7.4,69,485051
28,6.8,64,554645
29,6.2,42,408412
30,7.8,81,694633
31,5.6,32,314154
32,8.2,68,980979
33,8.4,78,1689199
34,8.4,59,1252541
35,6.5,53,446565
36,7.7,84,248612
37,8.3,92,830727
38,7.3,53,716144
39,8.5,88,1048260
40,7.8,65,628840
41,6.9,53,264450
42,6.6,45,526578
43,6.2,49,135707
44,7.3,77,275251
45,6.5,51,801077
46,6.4,53,414116
47,8,78,494843
48,7.6,65,770196
49,7.8,58,823402
50,9,84,2622926
51,5.7,38,141776
52,7.7,65,544179
53,7.3,62,400030
54,7.4,77,277311
55,6.9,58,377561
56,7.4,59,529711
57,7.1,50,649327
58,7.8,66,659955
59,7,60,393525
60,8.8,87,1649383
61,7.5,71,576897
62,8.2,90,1036553
63,7.6,78,540537
64,7.3,75,461112
65,7.9,49,534276
66,5.4,******,3046
67,8.8,92,1853771
68,7.7,81,621111
69,6.3,59,587489
70,6.6,56,57702
71,6.9,50,245386
72,6.8,60,439299
73,7.4,73,649821
74,7.4,63,629277
75,6.5,49,209391
76,6.5,61,202342
77,6.4,44,695862
78,5.9,44,8132
79,7.6,68,786549
80,7.5,76,662070
81,7.6,67,673752
82,8.2,94,706883
83,6.6,35,480550
84,7.9,74,742843
85,8.8,74,2324716
86,5.9,35,406957
87,5.5,52,249122
88,7.4,73,811999
89,7.4,76,653072
90,7,******,2163
91,7,59,574288
92,7.2,66,473418
93,6.1,58,306508
94,8.4,81,498683
95,6.7,58,248177
96,7.9,82,628520
97,6.5,39,310294
98,7.9,91,407536
99,7.7,86,331232
100,5.8,49,377606
101,6.2,65,453532
102,7.4,83,648995
103,7,61,394307
104,7.7,66,575147
105,8,65,1026159
106,8.6,90,1353518
107,7.3,68,392253
108,8,76,1167695
109,7.9,72,608067
110,6.6,46,432328
111,6.5,60,211651
112,6.9,56,374967
113,6.9,66,653109
114,6.6,64,453870
115,6.3,58,204809
116,6.4,57,286145
117,6.8,60,181744
118,5.9,40,682385
119,7.9,75,710007
120,6.9,75,397304
121,7.2,65,358803
122,7.2,62,592924
123,8.3,88,1035685
124,7.4,54,7676
125,5.2,58,130723
126,7.7,96,822546
127,7.8,70,838915
128,4.9,45,240895
129,4.7,44,284729
130,7.6,79,441019
131,7,61,636038
132,6.6,53,495780
133,7.3,69,540445
134,8.6,74,1795113
135,5.9,57,30681
136,5,58,246316
137,7.4,73,489750
138,7.2,68,913111
139,5.6,******,2032
140,7.4,75,372665
141,8.8,82,2053012
142,7.5,72,735360
143,8.2,64,985833
144,7.1,55,765934
145,6.8,60,278310
146,7.2,67,284471
147,6.1,45,450520
148,7.8,74,459347
149,6.5,52,281427
150,8.1,63,1119228
151,6.6,54,707156
152,6.5,65,325499
153,6.8,54,679421
154,7.6,81,333042
155,7.1,59,169094
156,7.6,74,467487
157,8,90,731233
158,8,80,846681
159,6.4,49,481308
160,5.4,******,782
161,7.3,66,380863
