ID,Year,Genre,Duration
1,2009,Action-Adventure-Fantasy,162
2,2019,Action-Adventure-Drama,181
3,1997,Drama-Romance,194
4,2015,Action-Adventure-Sci-Fi,138
5,2018,Action-Adventure-Sci-Fi,149
6,2021,Action-Adventure-Fantasy,148
7,2015,Action-Adventure-Sci-Fi,124
8,2019,Animation-Adventure-Drama,118
9,2012,Action-Adventure-Sci-Fi,143
10,2015,Action-Crime-Thriller,137
11,2019,Animation-Adventure-Comedy,103
12,2022,Action-Drama,130
13,2015,Action-Adventure-Sci-Fi,141
14,2018,Action-Adventure-Sci-Fi,134
15,2011,Adventure-Family-Fantasy,130
16,2017,Action-Adventure-Fantasy,152
17,2018,Action-Adventure-Sci-Fi,128
18,2013,Animation-Adventure-Comedy,102
19,2017,Adventure-Family-Fantasy,129
20,2018,Animation-Action-Adventure,118
21,2017,Action-Crime-Thriller,136
22,2013,Action-Adventure-Sci-Fi,130
23,2015,Animation-Adventure-Comedy,91
24,2016,Action-Adventure-Sci-Fi,147
25,2018,Action-Adventure-Fantasy,143
26,2003,Action-Adventure-Drama,201
27,2019,Action-Adventure-Sci-Fi,129
28,2019,Action-Adventure-Sci-Fi,123
29,2011,Action-Adventure-Sci-Fi,154
30,2012,Action-Adventure-Thriller,143
31,2014,Action-Adventure-Sci-Fi,165
32,1993,Action-Adventure-Sci-Fi,127
33,2012,Action-Drama,164
34,2019,Crime-Drama-Thriller,122
35,2019,Action-Adventure-Fantasy,141
36,2019,Animation-Adventure-Comedy,100
37,2010,Animation-Adventure-Comedy,103
38,2006,Action-Adventure-Fantasy,151
39,1994,Animation-Adventure-Drama,88
40,2016,Action-Adventure-Sci-Fi,133
41,2019,Adventure-Comedy-Family,128
42,2011,Action-Adventure-Fantasy,137
43,2017,Animation-Adventure-Comedy,89
44,2016,Animation-Adventure-Comedy,97
45,1999,Action-Adventure-Fantasy,136
46,2010,Adventure-Family-Fantasy,108
47,2016,Animation-Adventure-Comedy,108
48,2001,Adventure-Family-Fantasy,152
49,2012,Adventure-Fantasy,169
50,2008,Action-Crime-Drama,152
51,2022,Action-Adventure-Sci-Fi,147
52,2010,Adventure-Family-Fantasy,146
53,2013,Animation-Adventure-Comedy,98
54,2016,Adventure-Drama-Family,106
55,2017,Action-Adventure-Comedy,119
56,2014,Adventure-Fantasy,144
57,2007,Action-Adventure-Fantasy,169
58,2013,Adventure-Fantasy,161
59,2022,Action-Adventure-Fantasy,126
60,2002,Action-Adventure-Drama,179
61,2007,Action-Adventure-Family,138
62,2003,Animation-Adventure-Comedy,100
63,2009,Action-Adventure-Family,153
64,2004,Animation-Adventure-Comedy,93
65,2018,Biography-Drama-Music,134
66,2021,Action-Drama-History,176
67,2001,Action-Adventure-Drama,178
68,2005,Adventure-Family-Fantasy,157
69,2007,Action-Adventure-Sci-Fi,139
70,2022,Animation-Adventure-Comedy,87
71,2009,Animation-Adventure-Comedy,94
72,2015,Action-Adventure-Thriller,148
73,2017,Action-Adventure-Sci-Fi,133
74,2002,Adventure-Family-Fantasy,161
75,2012,Animation-Adventure-Comedy,88
76,2016,Animation-Adventure-Comedy,87
77,2016,Action-Adventure-Sci-Fi,152
78,2017,Action-Adventure-Drama,123
79,2005,Action-Adventure-Fantasy,140
80,2013,Action-Adventure-Sci-Fi,146
81,2017,Action-Adventure-Comedy,136
82,2015,Animation-Adventure-Comedy,95
83,2018,Action-Adventure-Sci-Fi,112
84,2017,Action-Adventure-Comedy,130
85,2010,Action-Adventure-Sci-Fi,148
86,2009,Action-Adventure-Sci-Fi,149
87,2012,Adventure-Drama-Fantasy,115
88,2002,Action-Adventure-Sci-Fi,121
89,2017,Action-Adventure-Fantasy,141
90,2021,Comedy-Romance,128
91,1996,Action-Adventure-Sci-Fi,145
92,2016,Adventure-Family-Fantasy,132
93,2007,Animation-Adventure-Comedy,93
94,2017,Animation-Adventure-Comedy,105
95,2019,Action-Adventure-Comedy,123
96,2004,Adventure-Family-Fantasy,142
97,2017,Action-Adventure-Fantasy,129
98,1982,Adventure-Family-Sci-Fi,115
99,2018,Action-Adventure-Thriller,147
100,2009,Action-Adventure-Sci-Fi,158
101,2008,Action-Adventure,122
102,2004,Action-Adventure-Sci-Fi,127
103,2013,Action-Adventure-Crime,130
104,2018,Action-Adventure-Comedy,119
105,2016,Action-Adventure-Comedy,108
106,1977,Action-Adventure-Fantasy,121
107,2021,Action-Adventure-Thriller,163
108,2014,Action-Adventure-Comedy,121
109,2022,Action-Crime-Drama,176
110,2006,Mystery-Thriller,149
111,2019,Action-Adventure-Thriller,137
112,2014,Adventure-Family-Fantasy,97
113,2012,Action-Adventure-Sci-Fi,136
114,2014,Action-Adventure-Sci-Fi,123
115,2010,Animation-Adventure-Comedy,93
116,2022,Action-Adventure-Comedy,118
117,2012,Animation-Adventure-Comedy,95
118,2016,Action-Adventure-Fantasy,123
119,2014,Action-Adventure-Sci-Fi,132
120,2005,Adventure-Family-Fantasy,143
121,2013,Animation-Adventure-Comedy,104
122,2003,Action-Sci-Fi,138
123,2009,Animation-Adventure-Comedy,96
124,2019,Animation-Action-Adventure,110
125,2021,Action-Crime-Thriller,143
126,2013,Drama-Sci-Fi-Thriller,91
127,2014,Action-Adventure-Sci-Fi,136
